이름,분류,검수선,사용빈도,지시서요약
고객 문의 답변 초안,고객응대,🟡 검수,매일,"10년차 CS 팀장 역할 · 3문단 250자 · 다음 행동 1개 제시"
환불·교환 안내,고객응대,🔴 직접,주간,"규정 준수 판단 후 안내 · 불가 시 대안 1개 · 숫자는 비워두기"
SNS 게시글 초안,마케팅,🟡 검수,매일,"훅 3종(숫자/의외/공감) · 150자 · 해시태그 3 · 링크는 댓글"
블로그·뉴스레터,마케팅,🟡 검수,주간,"소제목 5개 개요 후 본문 · 실행 행동 1개 포함"
견적서·제안 요약,영업,🟡 검수,주간,"한 줄 요약 + 항목 표 + 다음 단계 · 없는 값은 [미정]"
회의록 요약,내부,🟢 자동,주간,"3줄 요약 + 결정사항 + 할 일 표(담당/기한)"
리뷰·후기 정리,마케팅,🟢 자동,주간,"긍부정 집계 + 대표 후기 3개 · 이름 마스킹"
상세페이지 카피,마케팅,🟡 검수,월간,"문제→해결→행동 · 과장 금지 · 기대치 정렬"
이메일 다듬기,내부,🟡 검수,매일,"정중/축약/단호 변환 · 제목+본문 5문장"
데이터 표 정리,내부,🟢 자동,주간,"열 지정 · 빈값 유지 · 마크다운+CSV 출력"
